GHGRP ID,Landfill ID,Landfill Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate?,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF?,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Number of Wells,GCCS Capacity (cfm),Passive Venting/Flaring?
,21403,City of Warren Landfill,AR,,1424 A Bradley CR 25 North,Warren,Bradley,,33.561179,-92.11814,No,Public,"City of Warren, AR",,1978,1992,Closed,,,,,,,,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1005397,2291,Craighead County Solid Waste Disposal Authority LF,AR,Legacy Landfill,238 County Road 476,Jonesboro,Craighead,72404,35.719434,-90.68862,No,Public,Craighead County Solid Waste Disposal Authority,Craighead County Solid Waste Disposal Authority,1991,2030,Open,310,60.9,,100,"4,050,450","2,657,976",2022,"107,720",2022,Yes,Several times per year,No,,Yes,1.099,2022,48.6,Yes,,1.099,2022,42,1700,No
1002732,10500,Crittenden County Sanitary Landfill,AR,,1299 Kuhn Road,West Memphis,Crittenden,72301,35.13597,-90.25606,No,Public,"Crittenden County, AR",,1989,2038,Open,63.3,52,,,"4,052,007","2,115,732",2022,"79,909",2022,No,Not used,No,0.83,No,,,,No,,,,,,No
,21404,Drew County Sanitary Landfill,AR,,Jose Chapel Road,Monticello,Drew,,33.719375,-91.744474,No,Public,"Drew County, AR",,1979,1994,Closed,18.8,,,,,,,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1003406,2282,Eco-Vista Landfill,AR,Tontitown Landfill,2210 Waste Management Drive,Springdale,Washington,72762,36.140147,-94.256073,Yes,Private,WM,WM,1980,2023,Closed,147,124.9,,120,"14,986,495","11,496,914",2022,"723,332",2022,No,Not used,No,,Yes,3.881,2022,53.1,Yes,2,2.498,2022,228,4500,No
,11441,EMS Class 1 Landfill,AR,Eaton-Moery Environmental Services,203 Possum Waller Road,DeWitt,Arkansas,72042,34.311,-91.272,No,Private,Eaton-Moery Environmental Services,,,,Open,30.5,,,,,,,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,21402,Fulton Landfill-Cloverdale,AR,Fulton Landfill-Quail Road,Cloverdale Road,Rogers,Benton,,36.370181,-94.086774,No,Private,"Fulton Landfill, Inc.",,1977,1993,Closed,30,,,,,,,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,11442,Jackson County Landfill,AR,,2069 Jackson CR-265,Amagon,Jackson,72005,35.5894,-91.0922,No,Public,"Jackson County, AR",,,,Open,27,,,,"841,045",,,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1003615,2283,Jefferson County Landfill,AR,,6000 Gravel Pit Road,White Hall,Jefferson,71602,34.34676,-92.19214,No,Private,WM,,1992,2040,Open,66,45.1,,100,"5,845,066","3,924,727",2022,"94,981",2022,Yes,Occasionally but not every year,No,1.854,Yes,0.703,2022,52.3,Yes,1,0.703,2022,43,2000,No
,21405,Little River County Landfill,AR,,Highway 108 & County Road 11,Ashdown,Little River,,33.727581,-94.249631,No,Public,"Little River County, AR",,1980,1994,Closed,30,,,,,,,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
